Crop,Disease
Elm,Bacterial Leaf Scorch
Elm,Black Spot Of Elm
Elm,Dutch Elm Disease
European Red Raspberry,Gnomonia Cane Canker
European Red Raspberry,Rust
Garden Onion,Black Mold
Garden Onion,Downy Mildew
Garden Onion,Fusarium Damping-Off
Garden Onion,Iris Yellow Spot Virus
Garden Onion,Onion Yellows Phytoplasma
Garden Onion,Purple Blotch
Gourd,Fusarium Damping-Off
Gourd,Phytophthora Blight
Gourd,Powdery Mildew
Grape,Black Rot
Grape,Downy Mildew
Grape,Grape Anthracnose
Grape,Gray Mold
Grape,Powdery Mildew
Grape,Pseudocercospora Leaf Spot
Highbush Blueberry,Anthracnose
Highbush Blueberry,Blueberry Leaf Rust
Highbush Blueberry,Diaporthe Vaccinii Shear
Highbush Blueberry,Mummy Berry
Highbush Blueberry,Phomopsis Cankers And Twig Blights
Highbush Blueberry,Twig Canker
Hops,Apple Mosaic Virus
Hops,"Fusarium Wilts, Blights, Rots And Damping-Off"
Hops,Powdery Mildew
Hosta,Hosta Virus X
Hosta,Southern Blight
Hosta,Tobacco Rattle Virus
Hydrangea,Cercospora Fungi
Hydrangea,Gray Molds
Japanese Maple,Anthracnose
Japanese Maple,Phomopsis Cankers And Twig Blights
Japanese Maple,Powdery Mildew
Juniper,Diaporthe Juniperivora Sacc.
Juniper,Kabatina Blight
Juniper,Needle Cast
Juniper,Pestalotiopsis Leaf Spot
Juniper,Phomopsis Cankers And Twig Blights
Kentucky Bluegrass,Ascochyta Fungi
Kentucky Bluegrass,Spring Dead Spot
Lemon,Green Mold
Lemon,Whisker Mold
Lettuce,Cercospora Leaf Spot
Lettuce,Downy Mildew
Lettuce,Gray Mold
Lettuce,Lettuce Chlorosis Virus
Lettuce,Mirafiori Lettuce Big-Vein Virus
Lettuce,Powdery Mildew
Lettuce,"Rhizoctonia Damping-Off, Blight And Rot"
Lettuce,Sclerotinia Stem Rot
Lettuce,Sclerotinia Timber Rot
Lettuce,Southern Blight
Lettuce,Tomato Spotted Wilt Virus
Loblolly Pine,Leptographium Root Disease
Loblolly Pine,Pine Needle Rusts
Loblolly Pine,Wood Decay Fungi
Maple,Anthracnose
Maple,Maple Cankers
Maple,Tar Spot Of Maple
Melon,Alternaria Leaf Blight
Melon,Anthracnose
Melon,Bacterial Fruit Blotch
Melon,Bacterial Wilt
Melon,Charcoal Rot
Melon,Cucurbit Downy Mildew
Melon,"Fusarium Wilts, Blights, Rots And Damping-Off"
Melon,Gummy Stem Blight
Melon,Monosporascus Root Rot
Melon,Phytophthora Blight
Melon,Powdery Mildew
Melon,Pythium Diseases
Melon,Sour Rot
Northern Red Oak,Cryptocline Fungus
Northern Red Oak,Drippy Blight
Northern White Cedar,Arborvitae Needle Blight
Northern White Cedar,Needle Blight Of Cedar
Norway Maple,Anthracnose
Norway Maple,Cristulariella Leaf Spot
Oak,Anthracnose
Oak,Bacterial Leaf Scorch
Oak,Botryosphaeria Rots And Cankers
Oak,Coryneum Twig Blight
Oak,Cytospora Cankers
Oak,Ganoderma Root And Butt Rot
Oak,Leaf Spot
Oak,Monochaetia Fungi
Oak,Nectria Canker
Oak,Oak Leaf Blister
Oak,Oak Wilt
Oak,Polypore Fungus
Peach,"Botryosphaeria Canker, White Rot"
Peach,Brown Rot
Peach,Cladosporium Fungi
Peach,Peach Leaf Curl
Peach,Peach Mosaic Virus
Peach,Stigmina Fungus
Peanut,Nothopassalora Personata
Peanut,Passalora Fungus
Peanut,Southern Blight
Pecan,Diplodia Fungus
Pecan,Pecan Scab
Peony,Anthracnose
Peony,Botrytis Blight
Peony,Phytophthora Crown Rot
Pepper,Alternaria Black Molds / Stem Cankers
Pepper,Bacterial Spot
Pepper,Bitter Rot And Anthracnose
Pepper,Blossom End Rot
Pepper,Phytophthora Blight
Pepper,Southern Blight
Pepper,Tomato Spotted Wilt Virus
Phlox,Downy Mildew
Phlox,Powdery Mildew
Phlox,"Root, Stem, And Crown Rots"
Pine,Diplodia Sapinea De Not.
Pine,Pine Needle Rusts
Pine,Ploioderma Needle Cast Of Pine
Plum and Cherry,Black Knot
Plum and Cherry,Blumeriella Leaf Spot Of Cherry And Plum
Plum and Cherry,Brown Rots
Plum and Cherry,Phloeosporella Fungus
Plum and Cherry,Powdery Mildew
Plum and Cherry,Rust
Potato,Bacterial Soft Rot
Potato,Early Blight
Potato,"Fusarium Wilts, Blights, Rots And Damping-Off"
Potato,Late Blight
Potato,Phytophthora Root And Stem Rot
Potato,"Rhizoctonia Damping-Off, Blight And Rot"
Potato,Tomato Spotted Wilt Virus
Red Pine,Annosum Root Disease
Red Pine,Diplodia Sapinea De Not.
Red Pine,Sirococcus Blight Of Conifers
Rhododendrons And Azaleas,Guignardia Blotch
Rhododendrons And Azaleas,Leaf And Flower Gall
Rhododendrons And Azaleas,Pestalotiopsis Leaf Spot
Rice,Bacterial Panicle Blight
Rice,Narrow Brown Leaf Spot
Rice,"Rhizoctonia Damping-Off, Blight And Rot"
Rice,Rice Blast Disease
Rose,Black Spot
Rose,Powdery Mildew
Rose,Rose Rosette Virus
Scots Pine,Brown Spot Needle Blight
Scots Pine,Diplodia Sapinea De Not.
Scots Pine,Sphaeropsis Tip Blights And Cankers
Serviceberry,Anthracnose
Serviceberry,Powdery Mildew
Soybean,Bacterial Blight
Soybean,Bacterial Pustule Of Soybean Disease
Soybean,Bean Pod Mottle Virus
Soybean,Brown Stem Rot
Soybean,Cercospora Blight
Soybean,Charcoal Rot
Soybean,Downy Mildew
Soybean,Frogeye Leaf Spot
Soybean,Genus Diaporthe
Soybean,"Rhizoctonia Damping-Off, Blight And Rot"
Soybean,Root And Stem Rot
Soybean,Sclerotinia Timber Rot
Soybean,Septoria Leaf Spot
Soybean,Southern Blight
Soybean,Soybean Rust
Soybean,Soybean Vein Necrosis Virus
Soybean,Taproot Decline On Soybean
Spinach,Cladosporium Leaf Spot
Spinach,Downy Mildew
Spinach,White Rust
Squash,Anthracnose
Squash,Choanephora Fruit Rot
Squash,Cucurbit Downy Mildew
Squash,"Fusarium Wilts, Blights, Rots And Damping-Off"
Squash,Gummy Stem Blight
Squash,Phytophthora Blight
Squash,Plectosphaerella Fungus
Squash,Powdery Mildew
Squash,Pythium Diseases
Squash,Southern Blight
St. Augustinegrass,"Rhizoctonia Damping-Off, Blight And Rot"
St. Augustinegrass,Sugarcane Mosaic Virus
Strawberry,Angular Leaf Spot Of Strawberry
Strawberry,Anthracnose
Strawberry,Gray Mold
Strawberry,Leaf Spot
Strawberry,Phomopsis Leaf Blight And Fruit Rot
Strawberry,Ramularia Grevilleana Verkley & U. Braun
Sugar Beet,Beet Necrotic Yellow Vein Virus
Sugar Beet,Cercospora Leaf Spot
Sugar Beet,Powdery Mildew
Sweet Cherry,Brown Rot
Sweet Cherry,Powdery Mildew
Sweet Potato,Bacteria Wilt And Soft Rot
Sweet Potato,Black Rot
Sweet Potato,Bread Mold
Sweet Potato,Charcoal Rot
Sweet Potato,Fusarium Damping-Off
Sweet Potato,Fusarium Lateritium Nees
Sweet Potato,Fusarium Root Rot And Wilt
Sweet Potato,Fusarium Wilt
Sweet Potato,Java Black Rot
Sweet Potato,Penicillium Fungi
Sweet Potato,Pythium Root And Stem Rot
Sweet Potato,Rhizopus Soft Rots
Sweet Potato,Scurf
Sweet Potato,Sour Rot
Sweet Potato,Southern Blight
Sweet Potato,Streptomyces Soil Rot
Sweet Potato,Sweet Potato Feathery Mottle Virus
Tomato,Anthracnose
Tomato,Bacterial Canker And Wilt Of Tomato
Tomato,Bacterial Speck Of Tomato
Tomato,Bacterial Wilt
Tomato,Cucumber Mosaic Virus
Tomato,Early Blight
Tomato,Gray Mold
Tomato,Gray Molds
Tomato,Late Blight
Tomato,Phytophthora Blight
Tomato,Rhizopus Soft Rots
Tomato,Sclerotinia Timber Rot
Tomato,Septoria Leaf Spot
Tomato,Southern Bacterial Wilt
Tomato,Southern Blight
Tomato,Tomato Leaf Mould
Tomato,Tomato Spotted Wilt Virus
Tomato,Verticillium Wilts
Watermelon,Anthracnose
Watermelon,Bacterial Fruit Blotch
Watermelon,Blossom End Rot
Watermelon,Cucurbit Downy Mildew
Watermelon,Cucurbit Yellow Vine Decline
Watermelon,Gummy Stem Blight
Watermelon,Phytophthora Blight
Watermelon,Powdery Mildew
Watermelon,Pythium Diseases
Watermelon,Southern Blight
Watermelon,Unknown Virus
Watermelon,Watermelon Mosaic Virus
Wheat,Barley Yellow Dwarf Virus
Wheat,"Dwarf Bunt, Dwarf Smut"
Wheat,Fusarium Graminearum Schwabe
Wheat,"Fusarium Wilts, Blights, Rots And Damping-Off"
Wheat,Karnal Bunt
Wheat,Loose Smut Of Wheat Or Barley
Wheat,Parastagonospora Nodorum
Wheat,Powdery Mildew
Wheat,Stripe Rust
Wheat,Tan Spot
Wheat,Wheat Leaf Rust
Wheat,Wheat Stem Rust
Wheat,Wheat Streak Mosaic Virus
Wheat,Zymoseptoria Tritici
Witch-Hazel,Gonatobotryum Fungus
Witch-Hazel,Phyllosticta Leaf Spots
