crop,disease
Forsythia,Phomopsis Cankers And Twig Blights
Garden Onion,Black Mold
Garden Onion,Downy Mildew
Garden Onion,Onion Yellows Phytoplasma
Garden Onion,Fusarium Damping-Off
Garden Onion,Iris Yellow Spot Virus
Garden Onion,Purple Blotch
Geranium,Rust
Gourd,Phytophthora Blight
Gourd,Fusarium Damping-Off
Gourd,Powdery Mildew
Grape,Powdery Mildew
Grape,Black Rot
Grape,Gray Mold
Grape,Grape Anthracnose
Grape,Downy Mildew
Grape,Pseudocercospora Leaf Spot
Hawthorn,Quince Rust
Hemp/Marijuana (Sativa),Beet Curly Top Virus
Hickory,Ascochyta Fungi
Highbush Blackberry,Downy Mildew
Highbush Blueberry,Anthracnose
Highbush Blueberry,Twig Canker
Highbush Blueberry,Blueberry Leaf Rust
Highbush Blueberry,Phomopsis Cankers And Twig Blights
Highbush Blueberry,Diaporthe Vaccinii Shear
Highbush Blueberry,Mummy Berry
Hollyhock,Hollyhock Rust
Hops,"Fusarium Wilts, Blights, Rots And Damping-Off"
Hops,Carnation Latent Virus
Hops,Apple Mosaic Virus
Hops,Powdery Mildew
Hops,Cucurbit Downy Mildew
Hosta,Southern Blight
Hosta,Hosta Virus X
Hosta,Tobacco Rattle Virus
Hydrangea,Cercospora Fungi
Hydrangea,Gray Molds
Iris,Heterosporium Leaf Spot On Iris
Italian Cypress,Phyllosticta Leaf Spots
Jack Pine,Tar Spot Needlecast
Japanese Flowering Cherry,Hypocrea
Japanese Maple,Anthracnose
Japanese Maple,Phomopsis Cankers And Twig Blights
Japanese Maple,Powdery Mildew
Jostaberry,White Pine Blister Rust
Juniper,Diaporthe Juniperivora Sacc.
Juniper,Kabatina Blight
Juniper,Needle Cast
Juniper,Pestalotiopsis Leaf Spot
Juniper,Phomopsis Cankers And Twig Blights
Kale,Leptosphaerulina Leaf Blights
Kentucky Bluegrass,Spring Dead Spot
Kentucky Bluegrass,Ascochyta Fungi
Kentucky Bluegrass,Wheat Stem Rust
Lawngrass,Rust
Lemon,Green Mold
Lemon,Whisker Mold
Lentil,Ascochyta Blight
Lettuce,Downy Mildew
Lettuce,Powdery Mildew
Lettuce,Sclerotinia Stem Rot
Lettuce,Sclerotinia Timber Rot
Lettuce,Gray Mold
Lettuce,Cercospora Leaf Spot
Lettuce,Lettuce Chlorosis Virus
Lettuce,Mirafiori Lettuce Big-Vein Virus
Lettuce,"Rhizoctonia Damping-Off, Blight And Rot"
Lettuce,Tomato Spotted Wilt Virus
Lettuce,Southern Blight
Leyland Cypress,Seiridium Cankers
Lilac,Anthracnose
Live Oak,Oak Wilt
Loblolly Pine,Leptographium Root Disease
Loblolly Pine,Pine Needle Rusts
Loblolly Pine,Wood Decay Fungi
Lowbush Blueberry,Leaf And Flower Gall
Mallow,Hollyhock Rust
Maple,Anthracnose
Maple,Tar Spot Of Maple
Maple,Maple Cankers
Melon,Bacterial Wilt
Melon,"Fusarium Wilts, Blights, Rots And Damping-Off"
Melon,Monosporascus Root Rot
Melon,Powdery Mildew
Melon,Cucurbit Downy Mildew
Melon,Alternaria Leaf Blight
Melon,Anthracnose
Melon,Phytophthora Blight
Melon,Gummy Stem Blight
Melon,Bacterial Fruit Blotch
Melon,Sour Rot
Melon,Charcoal Rot
Melon,Pythium Diseases
Microbiota,Phomopsis Cankers And Twig Blights
Mimosa,Mimosa Wilt
Mugo Pine,Diplodia Sapinea De Not.
Northern Red Oak,Drippy Blight
Northern Red Oak,Cryptocline Fungus
Northern White Cedar,Needle Blight Of Cedar
Northern White Cedar,Arborvitae Needle Blight
Norway Maple,Anthracnose
Norway Maple,Cristulariella Leaf Spot
Norway Spruce,Rhizosphaera Needle Cast
Oak,Ganoderma Root And Butt Rot
Oak,Polypore Fungus
Oak,Oak Wilt
Oak,Bacterial Leaf Scorch
Oak,Oak Leaf Blister
Oak,Leaf Spot
Oak,Botryosphaeria Rots And Cankers
Oak,Coryneum Twig Blight
Oak,Cytospora Cankers
Oak,Anthracnose
Oak,Monochaetia Fungi
Oak,Nectria Canker
Oat,Crown Rust
Ohio Buckeye,Rust
Okra,Choanephora Fruit Rot
Onions,Downy Mildew
Orange,Whisker Mold
Orange Coneflower,Downy Mildew
Oriental Poppy,Anthracnose
Parsley,Septoria Leaf Spot
Peach,Brown Rot
Peach,Peach Leaf Curl
Peach,Stigmina Fungus
Peach,"Botryosphaeria Canker, White Rot"
Peach,Peach Mosaic Virus
Peach,Cladosporium Fungi
Peanut,Southern Blight
Peanut,Nothopassalora Personata
Peanut,Passalora Fungus
Pecan,Pecan Scab
Pecan,Diplodia Fungus
Peony,Anthracnose
Peony,Phytophthora Crown Rot
Peony,Botrytis Blight
Pepper,Southern Blight
Pepper,Phytophthora Blight
Pepper,Tomato Spotted Wilt Virus
Pepper,Blossom End Rot
Pepper,Bacterial Spot
Pepper,Alternaria Black Molds / Stem Cankers
Pepper,Bitter Rot And Anthracnose
Phlox,Powdery Mildew
Phlox,Downy Mildew
Phlox,"Root, Stem, And Crown Rots"
Piedmont Azalea,Leaf And Flower Gall
Pin Oak,Drippy Blight
Pine,Pine Needle Rusts
Pine,Diplodia Sapinea De Not.
Pine,Ploioderma Needle Cast Of Pine
Plum/Cherry,Phloeosporella Fungus
Plum/Cherry,Rust
Plum/Cherry,Black Knot
Plum/Cherry,Blumeriella Leaf Spot Of Cherry And Plum
Plum/Cherry,Brown Rots
Plum/Cherry,Powdery Mildew
Ponderosa Pine,Pine Needlecast
Potato,Bacterial Soft Rot
Potato,Late Blight
Potato,"Rhizoctonia Damping-Off, Blight And Rot"
Potato,Early Blight
Potato,"Fusarium Wilts, Blights, Rots And Damping-Off"
Potato,Phytophthora Root And Stem Rot
Potato,Tomato Spotted Wilt Virus
Privet,Thedgonia Ligustrina
Ramp,Septoria Leaf Spot And Cankers
Red Pine,Diplodia Sapinea De Not.
Red Pine,Annosum Root Disease
Red Pine,Sirococcus Blight Of Conifers
Redvein Enkianthus,Phyllosticta Leaf Spots
Reed Canarygrass,Leaf Blight
Rhododendrons And Azaleas,Bitter Rot And Anthracnose
Rhododendrons And Azaleas,Leaf And Flower Gall
Rhododendrons And Azaleas,Guignardia Blotch
Rhododendrons And Azaleas,Pestalotiopsis Leaf Spot
Rice,Bacterial Panicle Blight
Rice,Narrow Brown Leaf Spot
Rice,Rice Blast Disease
Rice,"Rhizoctonia Damping-Off, Blight And Rot"
Rose,Powdery Mildew
Rose,Black Spot
Rose,Rose Rosette Virus
Scarlet Oak,Oak Leaf Blister
Scots Pine,Diplodia Sapinea De Not.
Scots Pine,Brown Spot Needle Blight
Scots Pine,Sphaeropsis Tip Blights And Cankers
Serviceberry,Anthracnose
Serviceberry,Powdery Mildew
Shortleaf Pine,Phytophthora Root Rot
Singleleaf Pinyon,Pinyon Blister Rust
Solenostemon,Coleus Downy Mildew
Soybean,Southern Blight
Soybean,Cercospora Blight
Soybean,Frogeye Leaf Spot
Soybean,Bean Pod Mottle Virus
Soybean,Charcoal Rot
Soybean,Soybean Rust
Soybean,Taproot Decline On Soybean
Soybean,Brown Stem Rot
Soybean,Soybean Vein Necrosis Virus
Soybean,Root And Stem Rot
Soybean,Bacterial Blight
Soybean,Sclerotinia Timber Rot
Soybean,Septoria Leaf Spot
Soybean,Genus Diaporthe
Soybean,Downy Mildew
Soybean,"Rhizoctonia Damping-Off, Blight And Rot"
Soybean,Bacterial Pustule Of Soybean Disease
Spinach,Downy Mildew
Spinach,White Rust
Spinach,Cladosporium Leaf Spot
Spindletree,Powdery Mildew
Spruce,Sirococcus Blight
Squash,Plectosphaerella Fungus
Squash,"Fusarium Wilts, Blights, Rots And Damping-Off"
Squash,Powdery Mildew
Squash,Phytophthora Blight
Squash,Choanephora Fruit Rot
Squash,Gummy Stem Blight
Squash,Cucurbit Downy Mildew
Squash,Anthracnose
Squash,Southern Blight
Squash,Pythium Diseases
St. Augustinegrass,"Rhizoctonia Damping-Off, Blight And Rot"
St. Augustinegrass,Sugarcane Mosaic Virus
Strawberry,Gray Mold
Strawberry,Phomopsis Leaf Blight And Fruit Rot
Strawberry,Angular Leaf Spot Of Strawberry
Strawberry,Anthracnose
Strawberry,Leaf Spot
Strawberry,Ramularia Grevilleana Verkley & U. Braun
Sudangrass,Pantoea Rot And Blight
Sugar Beet,Powdery Mildew
Sugar Beet,Beet Necrotic Yellow Vein Virus
Sugar Beet,Cercospora Leaf Spot
Sweet Cherry,Brown Rot
Sweet Cherry,Powdery Mildew
Sweet Potato,Scurf
Sweet Potato,Rhizopus Soft Rots
Sweet Potato,Bread Mold
Sweet Potato,Southern Blight
Sweet Potato,Java Black Rot
Sweet Potato,Sweet Potato Feathery Mottle Virus
Sweet Potato,Sour Rot
Sweet Potato,Charcoal Rot
Sweet Potato,White Rust
Sweet Potato,Black Rot
Sweet Potato,Bacteria Wilt And Soft Rot
Sweet Potato,Fusarium Lateritium Nees
Sweet Potato,Fusarium Root Rot And Wilt
Sweet Potato,Fusarium Wilt
Sweet Potato,Fusarium Damping-Off
Sweet Potato,Penicillium Fungi
Sweet Potato,Pythium Root And Stem Rot
Sweet Potato,Streptomyces Soil Rot
Switchgrass,Switchgrass Rust
Tall Fescue,"Rhizoctonia Damping-Off, Blight And Rot"
Tomato,Early Blight
Tomato,Southern Blight
Tomato,Bacterial Canker And Wilt Of Tomato
Tomato,Cucumber Mosaic Virus
Tomato,Tomato Leaf Mould
Tomato,Late Blight
Tomato,Phytophthora Blight
Tomato,Bacterial Speck Of Tomato
Tomato,Southern Bacterial Wilt
Tomato,Tomato Spotted Wilt Virus
Tomato,Anthracnose
Tomato,Septoria Leaf Spot
Tomato,Gray Mold
Tomato,Rhizopus Soft Rots
Tomato,Sclerotinia Timber Rot
Tomato,Gray Molds
Tomato,Bacterial Wilt
Tomato,Verticillium Wilts
Touch-Me-Not,Downy Mildew
Trumpet Honeysuckle,Powdery Mildew
Tulip,Mycelial Neck Rot
Turf (General),Puccinia Rusts
Turnip,Club Root Of Crucifers
Violet,Rust
Virginia Pine,Leptographium Root Disease
Watermelon,Cucurbit Yellow Vine Decline
Watermelon,Unknown Virus
Watermelon,Powdery Mildew
Watermelon,Pythium Diseases
Watermelon,Bacterial Fruit Blotch
Watermelon,Phytophthora Blight
Watermelon,Gummy Stem Blight
Watermelon,Anthracnose
Watermelon,Cucurbit Downy Mildew
Watermelon,Blossom End Rot
Watermelon,Southern Blight
Watermelon,Watermelon Mosaic Virus
Wheat,Karnal Bunt
Wheat,Wheat Leaf Rust
Wheat,"Dwarf Bunt, Dwarf Smut"
Wheat,Powdery Mildew
Wheat,Barley Yellow Dwarf Virus
Wheat,Stripe Rust
Wheat,Tan Spot
Wheat,Wheat Streak Mosaic Virus
Wheat,Loose Smut Of Wheat Or Barley
Wheat,Parastagonospora Nodorum
Wheat,Zymoseptoria Tritici
Wheat,"Fusarium Wilts, Blights, Rots And Damping-Off"
Wheat,Fusarium Graminearum Schwabe
Wheat,Wheat Stem Rust
White Fir,Phyllosticta Leaf Spots
Willow,Marssonina Leaf Spots
Winter Squashes,Cucurbit Downy Mildew
Witch-Hazel,Phyllosticta Leaf Spots
Witch-Hazel,Gonatobotryum Fungus
Yew,Cryptocline Needle Blight
